episode;steps;reward;average;epsilon
169;404;279.492777608573;160.19113527361688;0.01
170;325;161.22552291161713;158.5653028574433;0.01
171;216;264.3267465684547;158.27094181761865;0.01
172;245;263.2198403926018;158.6930091134172;0.01
173;284;232.57329466006126;158.10566478538175;0.01
174;955;158.97545071645993;164.58463630307995;0.01
175;440;-348.8306007971624;152.17467003930716;0.01
176;269;254.23552715293008;152.81921051818847;0.01
177;454;256.75753662188964;159.42962164598305;0.01
178;396;216.73104629885893;164.29340932497078;0.01
179;396;226.19876658506956;164.99455857052362;0.01
180;447;235.9370381639211;169.40494574378442;0.01
181;356;235.02404871322696;168.99014715801016;0.01
182;299;286.48184471164336;169.34923044900862;0.01
183;392;288.5677295435331;169.8481983769516;0.01
184;285;275.68583601831097;170.5869623104178;0.01
185;344;207.6062679736355;170.1707775254219;0.01
186;377;270.6390700149352;170.66620645648385;0.01
187;347;-135.50476879259085;163.94183653214114;0.01
188;353;209.01800261683408;162.7381378091103;0.01
189;367;243.28715966827204;168.0790927695503;0.01
190;334;274.7683359366944;169.19612710727995;0.01
191;358;231.35250893866865;178.9510237950387;0.01
192;362;280.84895849176894;185.3113714620274;0.01
193;496;-290.29117323668834;179.58433612512124;0.01
194;339;266.42264815926865;185.16001183711782;0.01
195;382;254.28079730425134;186.4464378598955;0.01
196;283;290.030945573582;192.53315005654787;0.01
197;332;243.3428494902066;193.24749106000218;0.01
198;342;216.78503453007008;193.40778191239943;0.01
199;584;-106.23592011948064;186.26505719920965;0.01
200;706;172.58718544704294;186.02089340865965;0.01
201;412;249.39909693951427;187.45797398502293;0.01
202;389;247.37766953016177;187.35384889874945;0.01
203;247;249.59388999155263;186.6255928505906;0.01
204;273;244.3271305563468;187.2261019103535;0.01
205;161;46.17489858575735;182.97894116755745;0.01
206;296;296.77651291121595;193.24754524949367;0.01
207;293;249.21584421274113;202.92656687906606;0.01
208;294;273.2102216827391;203.43139666186002;0.01
209;385;244.6001434575699;203.22286560911115;0.01
210;495;218.53747748137337;202.36021408331322;0.01
211;892;232.79701976104553;202.27335325145464;0.01
212;271;254.66933172515127;202.21524904182206;0.01
213;309;250.80522215238224;203.0399540849972;0.01
214;485;224.7970182769192;203.69173827104427;0.01
215;174;-183.92664133607548;195.1058205666258;0.01
216;999;-61.38235520890694;189.59630927207417;0.01
217;226;257.6658358830298;189.4912842227241;0.01
218;410;224.4276271554661;188.6921250324889;0.01
219;523;263.59128531038675;188.37409518652512;0.01
220;329;199.70656019706382;189.14371593223407;0.01
221;292;215.0044218953443;188.15726943877186;0.01
222;184;316.2596780045071;189.21806619100997;0.01
223;269;253.06446018616427;189.627889501532;0.01
224;263;268.48379422345477;191.81805637167193;0.01
225;266;243.55664297585332;203.6658012471322;0.01
226;287;266.68093542359236;203.91470941254548;0.01
227;304;266.49929965696856;204.10954467324703;0.01
228;463;201.7506554846278;203.80993685696242;0.01
229;326;234.84492107129856;203.98285994668703;0.01
230;999;71.51622099545395;200.69444360331767;0.01
231;355;231.16195080094408;200.61720164507202;0.01
232;457;275.1573981042584;200.3907127129243;0.01
233;248;229.05640443150637;199.20048621068378;0.01
234;231;273.88597623615874;199.16448901504074;0.01
235;245;269.4567789605977;200.40149923478003;0.01
236;211;273.43021677217735;200.45732216992485;0.01
237;210;280.0272661155383;208.7679628680874;0.01
238;526;263.3971973069534;209.85554676188983;0.01
239;279;287.8889561942593;210.74758269240954;0.01
240;218;232.88288753398137;209.90987372435526;0.01
241;252;308.20585634303706;211.44694067244265;0.01
242;283;282.16286333485016;211.47321876930425;0.01
243;272;247.2693028139963;222.22442829031795;0.01
244;327;255.070796556928;221.99739125827114;0.01
245;412;249.37944357686007;221.89936418372335;0.01
246;288;291.9201202602051;221.93714767745576;0.01
247;302;263.4222215955333;222.3387351195623;0.01
248;245;244.89582283301732;222.90095088562123;0.01
249;221;307.5620985116898;231.17691125824464;0.01
250;278;237.44635623567535;232.47409467401732;0.01
251;229;237.89354416536094;232.24398361853426;0.01
252;221;286.43668213177307;233.02516387056647;0.01
253;303;261.71536866320184;233.26759344399943;0.01
254;324;259.98463689346113;233.58074357074176;0.01
255;282;247.45688293367309;237.60638325770006;0.01
256;999;-16.614038010357934;231.33857223926861;0.01
257;410;219.85651659994795;230.75138568701274;0.01
258;445;-301.58710618176735;219.2554391297226;0.01
259;232;225.10768144454096;218.86558988946203;0.01
260;654;245.54433116545493;219.40572696314368;0.01
261;306;251.98738958471276;219.78953435961702;0.01
262;331;244.28149344942034;219.5817775941024;0.01
263;220;272.8388067718867;220.02244928649247;0.01
264;93;28.92432851693266;216.10499549129273;0.01
265;209;249.28496277095172;224.7692275734333;0.01
266;266;273.6513245574741;231.4699011687609;0.01
267;470;268.6004434400063;231.68859331990046;0.01
268;259;302.0941059645317;233.24192289608175;0.01
269;275;265.2580296881056;233.2752577836361;0.01
270;299;288.8288937549395;235.05770445479365;0.01
271;88;35.95741224129918;231.47676426171273;0.01
272;248;304.7481881814966;231.24653446525252;0.01
273;242;250.36883377688574;231.19262193706695;0.01
274;688;207.23353259636423;229.96761670452514;0.01
275;315;261.4333933109946;230.32515171122796;0.01
276;221;265.5789479947589;230.30311196265131;0.01
277;275;288.5144224201778;230.7434144179155;0.01
278;266;281.02626177632163;232.32892654374936;0.01
279;244;279.0686459133161;233.2134010405897;0.01
280;260;259.69941976309406;236.9770650159425;0.01
281;274;271.8681950842945;237.79118990160953;0.01
282;268;274.8716526647617;237.7854749928196;0.01
283;243;264.48661303527354;238.49407916489494;0.01
284;270;263.8656862406484;238.29367336498473;0.01
285;374;233.1976694331904;237.56849117443656;0.01
286;366;267.12561034188514;237.44239904583074;0.01
287;777;261.98972927950257;237.08164830911002;0.01
288;357;-44.602874000418396;230.9216468829626;0.01
289;435;217.3277088636588;229.5104219363506;0.01
290;308;258.5702555672666;230.0241692970163;0.01
291;999;76.41735541903368;225.38839927853624;0.01
292;317;247.66411592195522;224.69842433027833;0.01
293;315;250.0672331884085;224.75438293776656;0.01
294;268;241.0466999779669;224.47390100618733;0.01
295;542;205.06003665160512;223.58751286768222;0.01
296;281;253.00487995128475;222.80920806150382;0.01
297;238;293.12606610655735;223.40328495172432;0.01
298;232;225.5597020992592;223.01656253704914;0.01
299;228;299.8625446303348;222.86257145942204;0.01
300;255;292.91131765551205;223.97187068781878;0.01
301;253;253.91487191481878;224.29229724280793;0.01
302;188;25.99804123552815;219.08352442488302;0.01
303;236;238.4739929998733;218.61869691161647;0.01
304;282;274.23920334515975;218.90378824065044;0.01
305;208;-21.97117612176433;213.51522705954167;0.01
306;270;283.5800877989322;219.5191095757275;0.01
307;113;19.28251956865364;215.50762963510158;0.01
308;325;294.9087125730226;227.4375460101974;0.01
309;241;254.9518268215212;228.034428917737;0.01
310;260;291.5449410458137;228.95444111534417;0.01
311;471;258.5368300373409;229.0854299243967;0.01
312;361;227.03723300199567;228.74054471544824;0.01
313;261;258.58225665267673;228.45541371306405;0.01
314;286;211.80926831684073;232.11311250906223;0.01
315;283;244.20239600240163;232.0114611736912;0.01
316;157;25.912657397963997;227.056687830501;0.01
317;213;247.90212166136817;226.64272139492826;0.01
318;278;233.11975412767634;225.26323435819114;0.01
319;265;216.51148860586233;224.28830353654627;0.01
320;261;243.1250863095633;223.37422738763874;0.01
321;514;186.2434382954819;226.37994790872241;0.01
322;202;281.90180969718745;225.92302033903624;0.01
323;206;243.46702068935724;225.78498407728566;0.01
324;999;182.23467662803583;225.28500695791908;0.01
325;210;280.97504647190874;225.67584002113736;0.01
326;249;244.80772345797135;225.26041553040162;0.01
327;305;281.1148369295644;225.11242382058936;0.01
328;358;265.8226515561555;224.808351616186;0.01
329;238;289.7002017501325;225.0209827329224;0.01
330;487;291.1605763319106;225.6502058642987;0.01
331;308;210.06054553437167;224.41405287330025;0.01
332;911;-395.48074067123457;211.00700500658033;0.01
333;355;241.1134095037117;210.53954093594908;0.01
334;474;-212.06737589792684;201.02087969317756;0.01
335;214;254.38674913787187;201.4446612872712;0.01
336;299;269.2486868198728;201.48712281683092;0.01
337;251;265.68728764582386;201.56107398415736;0.01
338;305;298.2951730487048;208.4190349251398;0.01
339;299;277.70193861217865;209.62651952011024;0.01
340;210;252.27203245536285;209.50055505787216;0.01
341;380;288.85518600621975;213.74931166961588;0.01
342;230;252.84945914497192;213.85301853407623;0.01
343;331;296.711651562661;214.78590690156128;0.01
344;257;230.7970532598657;214.58091396719922;0.01
345;330;277.32535366246225;216.02622030741637;0.01
346;361;273.60084698643516;216.43813964811935;0.01
347;260;232.14345067152536;215.21848733941874;0.01
348;217;244.0180478881102;215.5876542551958;0.01
349;266;275.7900499568527;215.10620436172616;0.01
350;404;266.52249753433625;214.57842795930262;0.01
351;401;243.82658310396988;214.37666218308564;0.01
352;132;-1.7471285909021645;213.82175878655704;0.01
